Electricity:Facility,InteriorLights:Electricity,InteriorEquipment:Electricity,Electricity:HVAC,Heating:Gas,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,Site Direct Solar Radiation Rate per Area,days
399939.3966,125399.2693,192086.1621,14276.40849,292534.93,-2.113575269,70.30320341,156.7973417,31
372998.2468,118571.0897,177432.9884,10887.59299,145504.2044,1.942956349,62.61458333,188.2471892,28
427621.6325,140501.0096,203748.8923,12368.03371,93066.70053,5.43313172,62.39908154,197.9807721,31
442722.7799,126346.2431,189270.161,11303.33695,37219.71714,12.56460648,68.95763889,135.3763503,30
534839.3815,135467.0962,199861.3155,13378.61341,10495.01057,17.91901882,74.3156362,192.3388217,31
569504.0299,134869.0074,196272.7832,15033.54565,596.4444756,22.21377315,69.30104167,225.3063657,30
620274.3694,126944.3318,192858.6934,17233.53894,8.63309668,26.66420251,66.30790771,284.5905765,31
614558.959,140501.0096,203748.8923,15975.08275,867.8767689,23.04596774,77.16319444,219.8065636,31
556699.6188,126346.2431,189270.161,13398.4119,5173.27062,20.35770833,84.16527778,153.3049769,30
470651.87,130433.1827,195973.7388,12321.64007,34001.48739,12.89782706,75.73711918,157.4538157,31
423389.4042,124801.1806,188497.6298,11265.60203,57364.08533,9.760949074,74.10636574,128.5277006,30
412062.6982,126944.3318,192858.6934,11670.63889,103611.7875,5.489852151,75.55857975,140.3433766,31
402614.8436,125399.2693,192086.1621,12328.52826,155860.314,2.966196237,67.32896505,160.5200493,31
371759.1463,118571.0897,177432.9884,10966.14332,92052.94733,4.360565476,66.55753968,185.6282655,28
466413.688,140501.0096,203748.8923,12615.67655,46802.50109,10.55094086,66.37488799,169.6965352,31
435413.6379,126346.2431,189270.161,11904.76051,25641.9364,12.21400463,55.72905093,245.4565201,30
544349.0297,135467.0962,199861.3155,13402.70194,6748.004024,19.17009409,75.06552419,187.6199223,31
562955.6837,134869.0074,196272.7832,15187.04907,874.1594232,21.97055556,66.47974537,243.6834491,30
604992.7047,126944.3318,192858.6934,16508.35054,489.0397226,25.99072581,66.18817204,225.9435111,31
620971.5667,140501.0096,203748.8923,16481.5822,221.6832045,23.6906362,74.69086022,216.0216174,31
528533.6366,126346.2431,189270.161,13817.68899,4815.767411,19.238125,76.30347222,218.2326389,30
481165.192,130433.1827,195973.7388,12021.7264,31088.86122,13.64043459,78.69209229,132.0247536,31
393472.8944,124801.1806,188497.6298,11213.35361,96325.64957,5.098078704,71.14305556,146.7321759,30
402720.8098,126944.3318,192858.6934,11235.02215,124267.0659,4.969623656,78.95183692,83.43626792,31
